dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2018-01-01 03:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0006307917098222975,0.0,0.0,0.0,0.0003153180306834413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0031614365172830347,0.0,0.0,0.0,0.0015789867152391532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.006201199930379974,0.0,0.0,0.0,-0.0031005316858216847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061767112642780566,0.0,0.0,0.0,-0.0030882957339567274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 10:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021438700998510207,0.0,0.0,0.0,-0.0010721535214136763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 12:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.004520878776194679,0.0,0.0,0.0,0.0022573929446960098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 14:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002956981988780508,0.0,0.0,0.0,-0.00015027877527390258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 15:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006436749069376119,0.0,0.0,0.0,-0.00032425553322434843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 16:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002930295865513262,0.0,0.0,0.0,0.001462591975533274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 17:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010897613946746739,0.0,0.0,0.0,-0.0005446353148407033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032155902721214486,0.0,0.0,0.0,-0.0016073694524930176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 21:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.005198213153291788,0.0,0.0,0.0,0.00259716124960125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 22:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.008640180652035086,0.0,0.0,0.0,0.004318036070747317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.009396957343416109,0.0,0.0,0.0,-0.004700031999656245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 02:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01643926535328952,0.0,0.0,0.0,0.008205192009796605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 03:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.010163452630461589,0.0,0.0,0.0,-0.005095259059678616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 04:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0005622288807504046,0.0,0.0,0.0,0.0002636366309241092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 05:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.00148023191034046,0.0,0.0,0.0,-0.0007564071760985801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 07:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016565278270122231,0.0,0.0,0.0,-0.0008445243427437199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 08:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.00022685974262219967,0.0,0.0,0.0,9.669110540250431e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 11:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013660160318375758,0.0,0.0,0.0,-0.0006995704769498302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 12:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0024879685472221683,0.0,0.0,0.0,0.0012264245995885264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 13:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.00030403394349996435,0.0,0.0,0.0,0.00013521587912188244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 14:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0010099158470868305,0.0,0.0,0.0,0.00048691805648255586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 15:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.003839522257856675,0.0,0.0,0.0,-0.0019338408428170033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 16:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002942049893611078,0.0,0.0,0.0,0.0014557220639601675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
